 INFO  Accepting connections at http://localhost:3000
 HTTP  4/4/2026 11:03:46 PM ::1 GET /
 HTTP  4/4/2026 11:03:46 PM ::1 Returned 200 in 56 ms
 HTTP  4/4/2026 11:03:46 PM ::1 GET /styles.css
 HTTP  4/4/2026 11:03:46 PM ::1 Returned 200 in 9 ms
 HTTP  4/4/2026 11:03:46 PM ::1 GET /script.js
 HTTP  4/4/2026 11:03:46 PM ::1 Returned 200 in 10 ms
 HTTP  4/4/2026 11:03:46 PM ::1 GET /content.json
 HTTP  4/4/2026 11:03:46 PM ::1 Returned 200 in 2 ms
 HTTP  4/4/2026 11:04:48 PM ::1 GET /
 HTTP  4/4/2026 11:04:48 PM ::1 Returned 200 in 2 ms
 HTTP  4/4/2026 11:04:48 PM ::1 GET /styles.css
 HTTP  4/4/2026 11:04:48 PM ::1 Returned 200 in 2 ms
 HTTP  4/4/2026 11:04:48 PM ::1 GET /script.js
 HTTP  4/4/2026 11:04:48 PM ::1 Returned 200 in 2 ms
 HTTP  4/4/2026 11:04:48 PM ::1 GET /content.json
 HTTP  4/4/2026 11:04:48 PM ::1 Returned 200 in 2 ms
